Row,Set_1,Set_2,Set_3,Set_4
42,-0.979333747,-2.191431521,-1.547697325,-1.105852273
43,-2.878325007,-3.251951303,-3.699663779,-2.564862049
44,-2.391375122,-1.49928155,-2.834241779,-1.781489639
45,-1.349636789,-1.624992438,-3.233192462,-1.834976412
46,-2.010133894,-1.716235281,-2.363842122,-2.644640213
47,-1.958868018,-3.184256923,-2.203636925,-3.372172091
48,-2.86826882,-3.16813324,-2.849115101,-2.101418468
49,-2.512867425,-2.815966833,-1.48095288,-1.471651096
50,-5.03934203,-4.376867426,-5.39039621,-5.744600302
51,-3.159699837,-3.22170412,-4.472306827,-3.259928419
52,-1.065848125,-1.983145197,-1.958525894,-1.645441182
53,-2.618322253,-2.947206494,-2.743946101,-2.070745647
54,-3.750188425,-3.894825208,-2.487961443,-2.789813137
55,-2.461738381,-1.823262071,-2.638896534,-2.376221515
56,-2.577623931,-1.137447511,-2.679433365,-1.172786455
57,-2.886168608,-2.35504738,-0.957116798,-3.178877542
58,-2.46845906,-3.151465339,-3.383539334,-3.388357563
59,-2.736310069,-3.915110828,-3.943277815,-4.086442143
60,-5.195530191,-4.97945002,-4.706411575,-4.835705059
61,-3.104038884,-4.302511486,-3.586121447,-4.209708116
62,-3.074408199,-2.925167387,-2.308120649,-2.73747881
63,-5.137659684,-4.467210982,-4.297574495,-3.002292631
64,-2.725877729,-3.871529599,-3.757331052,-3.556213517
65,-2.879104222,-2.535038181,-3.002491783,-2.249182559
66,-2.360149267,-2.530383066,-3.743066329,-3.27463668
67,-3.061084827,-0.559127694,-1.95736941,-2.529155165
68,-1.896200584,-1.532034617,-2.827012976,-2.33996042
69,-4.095867518,-4.230966114,-4.117896742,-3.645893739
70,-2.890048575,-2.629962672,-4.681357292,-3.79641982
71,-3.149020298,-3.243322952,-2.392362442,-2.374823864
72,-2.645954508,-3.341248612,-3.177721782,-1.887500808
73,-2.982317306,-3.389845147,-2.808132352,-2.545456471
74,-3.057993701,-2.715153348,-2.624441191,-2.479968283
75,-2.108016789,-0.587013084,-2.482677578,-1.402226891
76,-1.825590514,-3.502290397,-1.880649304,-2.602809381
77,-3.804033313,-3.201053988,-3.177724138,-3.694305246
78,-2.583998511,-2.93230494,-3.720405958,-3.527254522
79,-5.253714686,-4.031780272,-4.993010743,-4.320636707
80,-2.972888392,-2.43497433,-2.353865869,-3.117949258
81,3.002523235,3.800030124,3.524764701,3.290063553
82,3.281963414,3.714646511,4.263595854,3.537767572
83,2.900351455,1.4696333,2.218709887,1.765997475
84,2.326806298,1.521694172,0.744791271,0.457716113
85,2.220365589,2.889415519,2.614217523,2.842908581
86,2.352083585,3.026910295,3.069338363,2.63307217
87,4.256528893,3.690791556,2.651163505,4.933059824
88,0.95943181,1.43800546,1.535398395,-0.423873668
89,3.538345979,2.637729492,3.681496142,4.282930138
90,1.837884638,2.908981006,1.8822146,1.780262567
91,2.529671308,1.886292704,2.613914411,1.998536285
92,3.813987663,2.52694039,3.893521915,4.526856437
93,2.390588408,3.182169586,1.834608826,2.010325367
94,4.132881188,3.840466702,3.322586979,3.58877924
95,2.383713174,2.104853161,1.895914093,3.358513269
96,3.713835829,3.417865826,2.742723335,2.148743386
97,3.323605469,3.368297087,3.534662319,3.105091051
98,2.960373365,2.813581519,2.784093071,2.752545431
99,2.497137065,1.90799414,1.50012684,2.228092044
100,3.772840381,3.827814337,3.113335029,4.042738684
101,2.398802916,1.860856673,2.816908463,2.883903178
102,1.367317519,1.50524734,2.266701104,2.549189324
103,2.788319008,1.840422257,2.290171383,3.094063445
104,1.758309614,2.246112548,2.188930646,1.75788846
105,1.820215688,2.802952597,1.505257296,1.99327201
106,3.559989315,2.971720089,5.152410317,4.73939958
107,1.957450275,1.45515955,2.008924577,2.149809461
108,3.01469134,2.376950716,1.8896937,3.232048439
109,2.206819012,1.871141631,2.906385862,1.982417528
110,3.888425654,2.007125617,2.653991158,2.559552867
111,0.340806352,1.062327666,1.510816775,1.259324639
112,2.534097605,3.833676841,3.249503777,2.321614308
113,1.585750656,2.419100324,2.604814907,1.826173816
114,2.355573821,1.855688207,0.869222521,0.216028802
115,2.814787194,3.164658542,2.373938232,2.863838331
116,2.830917259,1.612043494,1.761663424,3.384242211
117,2.928255925,1.802677576,2.519521642,2.154834055
118,3.089735961,2.296537899,3.080870224,3.370214802
119,2.824778344,2.985566518,3.028175263,2.937686906
120,4.27273023,5.077728699,4.182014793,3.935144317
121,2.099846102,3.770275145,2.649842283,3.740515707
122,2.519901132,3.417221507,2.230206711,1.086986079
123,4.069072453,3.444061215,3.854121341,4.832477479
124,4.101995219,4.168971464,2.803893451,3.738818413
125,2.591510927,2.022693569,2.025135713,1.803899943
126,2.173586156,1.823472095,1.247892023,1.569505538
127,2.036654867,3.585868582,2.140803461,2.802180635
128,2.205260127,1.602156953,2.442348935,2.429037519
129,3.824525487,2.19982461,2.327688141,2.421812787
130,2.489282863,3.002341429,1.487810615,2.693295835
131,2.523761465,1.394556104,1.426521045,2.568190096
132,1.959112805,1.979450348,2.141821515,1.696686944
133,1.692275234,0.788240834,2.03573562,1.027970629
134,1.483263898,1.215991591,2.489581401,1.931472664
135,1.441544344,1.92895413,1.72813224,2.483064638
136,2.475827691,4.631022409,3.761742525,4.371133995
137,4.237899302,4.561351012,5.591818169,4.102892749
138,3.542730718,3.630257066,2.062618493,2.350339301
139,2.477784042,3.022592472,0.979949989,2.383935528
140,3.05639404,4.890206154,4.634699078,2.689662314
141,1.342711818,1.169001811,2.353525915,2.432997809
142,1.992335282,2.308912165,3.346408839,2.301578038
143,1.089740013,1.429958441,1.589300725,2.350877737
144,2.323920292,1.812845059,2.268293673,1.546565701
145,3.64726083,4.232577454,3.389638249,4.057305767
146,3.710196832,2.684325741,2.856548345,4.330320218
147,3.265356539,2.00320775,3.538640985,2.520272723
148,3.19133743,2.907926871,2.76124926,2.50558186
149,3.648260747,3.12060368,2.349851034,2.836115074
150,1.716283872,2.832596095,2.443531672,2.94797758
151,3.34248971,3.138753158,1.996936043,2.808463397
152,3.891980254,1.831855671,2.824540477,2.191702274
153,2.246349481,3.483975697,2.38203131,2.877934305
154,3.247596018,3.295220534,2.246666768,3.820269181
155,1.898221735,3.013777781,1.992897392,2.52922295
156,2.901055686,4.164537342,1.777677241,1.456600026
157,2.522593559,2.476270602,2.925618851,3.077632535
158,4.193747144,4.185298991,2.840977966,3.326343456
159,2.422873413,2.660532111,2.745156902,2.367882519
160,1.910008098,0.770256294,3.232053769,1.471949924
161,2.147221542,0.915649447,3.009439578,1.802069277
162,3.382776409,2.957922549,3.12115238,4.428937465
163,3.587980946,2.746836003,4.317300115,3.362723616
164,2.190170318,2.734424207,2.340869804,2.360479125
165,2.893905333,1.934327893,1.60029168,2.501122255
166,2.594879669,1.842346638,2.560378994,2.863547453
167,3.619767642,2.140767019,3.265664299,2.947766998
168,3.516004362,2.984130682,2.708653727,3.105295523
169,2.124020594,2.303770102,3.944060181,2.716073757
170,1.62382268,2.472260165,2.613874726,2.006690666
171,2.546243751,2.667165329,2.951061162,3.278299694
172,3.649191439,2.518587703,3.275561942,4.973552871
173,3.701036041,2.820998387,2.986849057,2.686565647
174,1.945622255,2.77436853,1.731198955,1.884770275
175,3.009214506,3.003474077,2.385525933,3.500815589
176,2.37835549,3.419677804,1.935887206,2.053826531
177,2.54199628,1.868262016,2.86090717,2.772252727
178,3.0566734,3.810105435,4.197557281,2.975038607
179,0.701104914,1.443273746,1.55148099,2.096757784
180,5.200085356,3.228939801,4.280342404,4.750121522
181,3.00585974,2.399666989,3.636051438,3.333932699
182,4.02806664,3.931162783,4.051970861,4.050917177
183,3.265174607,3.190501035,3.453690004,2.819438817
184,4.378458421,4.052522514,3.61641652,3.419796944
185,2.094267517,1.844827902,1.859171054,2.122340614
186,2.26719616,3.248592985,1.64500214,0.833303562
187,1.570792993,2.748074666,2.700773635,2.807163622
188,2.381936448,4.236194209,4.049047335,3.647122361
189,2.920946453,3.908000887,3.640447012,2.601315269
190,0.95810298,1.606621676,1.365221576,-0.456580531
191,2.497508457,1.913460387,4.045205622,2.994635399
192,2.434144478,2.271176569,3.312390353,2.815230835
193,2.379497075,2.744700564,3.120979136,3.688914345
194,1.860988879,0.848780685,1.410833954,2.900097136
195,3.703169438,2.507997327,2.080847119,2.419899981
196,3.770234199,3.812617556,3.706267766,2.949153178
197,3.014180187,3.289953161,2.469187713,3.774386708
198,3.255638562,3.232497568,4.016103605,2.689032096
199,2.94353773,3.250841014,3.268222085,2.679597251
200,2.547860268,4.493059004,3.313006583,3.196672679
201,2.587458925,1.819756092,2.540102891,2.183233703
202,2.956934835,3.210605128,1.927159785,2.335315736
203,1.665498638,3.035812876,1.434872701,2.47725242
204,3.984498428,3.934526491,4.854824419,4.6764381
205,1.50745593,1.653592076,2.333161878,1.804502274
206,3.269317725,3.987152609,3.972257278,3.176872273
207,2.994599558,3.205521643,2.358635245,4.415487561
208,3.279898787,4.8068664,2.15740028,2.949351476
209,0.848714122,1.926395547,2.969396741,2.789225108
210,0.535254653,2.201113602,1.257730785,0.729945198
211,3.974418391,4.659876999,4.409868876,3.204653024
212,2.622394458,2.637169135,1.673022256,3.045706943
213,1.32789574,1.478822268,2.394418304,2.16239141
214,3.587233704,3.36823495,3.2207611,1.863238948
215,4.25004076,4.6284803,3.469977969,3.86638372
216,4.959484991,5.839223182,3.293860359,4.343223864
217,1.80560983,2.071280671,1.575766234,1.330727347
218,3.78731509,3.157486616,3.423768307,4.645057675
219,3.316744785,3.780937809,3.605334556,3.906053021
220,3.329389492,2.902499571,2.919915017,3.59550669
221,3.596079832,1.826743838,4.637985171,3.84530125
222,2.921412874,2.255360443,3.692640653,3.802235629
223,3.148970076,1.438950772,2.38951836,3.627239822
224,1.774417718,0.386027741,0.815378009,2.296033405
225,2.030771413,3.535776072,2.980431986,4.866133642
226,4.57798052,2.338790418,3.143664426,1.820155762
227,3.262516199,2.813538928,2.071135016,1.514648606
228,3.511293548,4.084442038,3.307161339,4.118597963
229,3.552101246,2.256296934,2.623998102,2.642577509
230,3.09066673,1.296812912,2.184859106,1.906506894
231,2.867488771,3.120395304,3.409464764,3.740559257
232,1.823522263,1.21181692,1.805438455,1.903941437
233,2.78420642,3.423087236,3.151843147,3.731137652
234,2.656149386,2.932761721,2.828094953,3.403201932
235,3.161374196,2.565191424,2.986324925,2.512001267
236,1.841272775,2.429223747,1.397935843,3.181317821
237,2.836880444,3.046565447,4.313969117,3.223263894
238,2.499081791,2.93469363,2.630102049,4.07664569
239,4.237174174,3.060964796,2.509761428,3.343600809
240,3.760720349,2.469335024,4.139461422,3.191000509
241,2.205617511,1.85793059,2.508364355,3.288136287
242,0.277742797,0.416468586,1.01496911,-0.096118399
243,4.010336301,3.229927042,2.369188629,2.812498978
244,2.902117498,3.222733305,3.585866607,3.991554219
245,2.566134221,3.435511689,3.185776319,2.348518378
246,3.504963032,2.529498216,3.542636233,3.035281788
247,2.056817137,1.974045535,3.667289314,3.516755695
248,4.330960343,4.875527275,4.09763422,4.483578065
249,2.755169263,1.651539364,2.414577503,3.015571763
250,2.576513762,1.982793003,3.472658168,3.6293525
251,1.961704387,3.433173208,2.077431437,2.485913189
252,4.920859894,3.602792798,5.540614391,4.253637488
253,3.478043869,2.281972143,1.804274516,2.665270703
254,1.304147404,2.959766916,1.749444856,3.004062083
255,2.593343027,2.242318324,1.297204993,3.11408374
256,3.161761912,3.025907325,3.011670534,3.123101648
257,2.728629266,2.793314365,2.457443206,1.783561114
258,1.723780568,1.476312114,1.530395136,2.790955703
259,5.530783253,4.366048377,4.242565874,3.735625897
260,4.530778948,4.277351204,2.987491889,3.802692689
261,3.342962763,4.610053104,4.181979497,3.904374382
262,3.640382319,3.563333942,3.509231265,3.773150608
263,3.567712456,4.103869407,3.179457868,2.816616605
264,3.204301846,3.046594787,3.314292869,3.036267422
265,4.066159224,3.529977926,3.050846266,3.084941093
266,2.663274469,2.762031106,3.815590322,2.641295473
267,3.304276904,2.748373439,1.520047366,3.749892991
268,2.633888065,4.006764025,3.540554503,3.876808722
269,2.375609021,3.300447806,1.846795628,3.004038198
270,1.904513792,1.424953185,1.499730502,2.179032328
271,3.14182349,4.762145057,5.450354173,4.368322465
272,1.584767042,1.758275249,2.004720251,2.885870475
273,4.18744384,3.214210681,4.293465936,4.176361282
274,4.038803528,3.227410786,3.693156291,3.715050616
275,3.939318602,1.497098063,2.434982059,2.506146118
276,1.912213684,1.614288296,2.269626665,3.046705778
277,2.514046776,3.496100636,2.387368577,3.226838165
278,2.395489116,2.565918367,2.89342243,2.94300798
279,4.814327119,3.527450498,3.338787635,2.70921597
280,0.972105367,2.439209101,2.670064968,2.173102933
281,-1.606433082,2.969913927,-3.36304093,2.167213179
282,-3.906467304,1.614996608,-2.473821747,0.936729445
283,-3.128546719,2.507251455,-4.218610132,1.71580715
284,-3.136094543,2.77841791,-2.035889301,3.60213014
285,-2.919360534,2.871854192,-3.272253986,2.613481755
286,-3.355762788,2.604957471,-2.458127652,3.167467424
287,-3.908475653,1.975917039,-2.983632767,2.868332397
288,-2.821024845,2.658446397,-3.418952908,1.991751678
289,-2.329300414,3.151754053,-1.876586092,2.996383681
290,-2.642815525,1.356635658,-3.238455717,2.153861011
291,-3.733636539,2.868679198,-4.443869282,0.781565794
292,-3.676136336,2.229028914,-3.281776357,2.299791827
293,-2.767609639,2.196730194,-3.315988501,2.330712393
294,-3.523080358,3.466822311,-2.63652597,1.676434245
295,-1.750145256,2.480831472,-2.154586174,3.487762641
296,-3.451321606,2.398386772,-4.13000917,3.150853819
297,-2.450094096,3.167899984,-2.531703607,2.581210238
298,-3.285774652,1.191713925,-3.874316442,2.444086806
299,-4.778798444,1.617956356,-4.00265781,2.152468438
300,-2.739692257,3.411651806,-3.19448244,3.244001719
301,-0.793878336,3.75466266,-1.05699844,1.672147473
302,-2.618622785,2.526483847,-2.495183049,4.109213573
303,-4.645415433,1.357304287,-2.509835329,3.315999489
304,-3.891655396,2.524693597,-1.774318633,2.317054548
305,-5.656856676,0.396735165,-5.232461126,1.906018779
306,-2.274031023,3.195190231,-1.965899141,3.355714527
307,-2.385783941,4.618640852,-1.102699208,3.815472813
308,-1.688729979,2.544875689,-1.422914299,3.939561783
309,-2.319014252,3.428707551,-2.112928848,3.258464013
310,-5.258954999,1.174814503,-4.92908077,0.73054377
311,-1.264577065,4.134180301,-1.293622854,5.136732147
312,-2.967308697,3.926914656,-2.610588522,3.682631581
313,-1.86562462,3.284977142,-3.524045199,2.283825499
314,-2.182129062,1.656902281,-2.440613427,4.009127382
315,-3.887631431,2.000166269,-2.435003743,0.902648619
316,-1.811032797,2.459364783,-2.326953346,2.861874322
317,-2.51803723,2.385738308,-2.102321212,4.177641928
318,-2.488674051,3.085590864,-2.71629714,2.65627535
319,-3.164869599,2.357403943,-2.893367704,2.594763386
320,-1.782506775,2.927056647,-3.669038995,2.615006601
321,-3.804145468,2.062069488,-4.199667682,1.38376702
322,-3.014955443,2.506818546,-3.008262992,2.631718265
323,-2.841278973,2.211040332,-2.248950797,3.058200722
324,-2.500635751,2.000634553,-2.559025004,1.775245652
325,-3.400911674,3.097767183,-1.594043671,2.97524413
326,-2.642380335,2.975219998,-4.731823155,1.540342898
327,-3.173854957,3.292239269,-3.784962653,3.536031552
328,-3.209046758,2.839797355,-2.44934765,2.509617095
329,-4.309168062,1.535133032,-3.840894916,2.87634639
330,-1.746331483,2.751544874,-1.397643329,4.60101406
331,-3.958994532,3.129129512,-2.29144063,3.800125558
332,-3.13704799,2.675370052,-2.420726312,3.628962289
333,-1.670026536,3.743319245,-2.731664991,3.45591727
334,-3.274655169,2.310117644,-3.618620056,1.45206857
335,-3.322719416,1.95945718,-3.397691859,1.662747637
336,-2.588008165,1.575444448,-2.266973273,2.835699519
337,-1.908052287,2.301161057,-3.902145657,1.441906241
338,-3.677928442,1.653885219,-4.401404711,1.39955702
339,-1.379354612,3.87875259,-1.914161284,3.798753432
340,-3.172048355,2.45313339,-3.841078885,2.937823212
341,-4.055483377,0.495024785,-3.949049631,1.428505472
342,-3.539772419,1.746599125,-3.178512237,2.264617963
343,-3.592093266,2.309336723,-2.944679821,2.835466112
344,-2.389796573,3.098749481,-3.475013832,3.52353645
345,-0.972675766,5.059849878,-1.525802007,4.311371629
346,-2.060990151,3.819491953,-1.005451288,2.511815526
347,-3.13569568,3.020294751,-2.568975621,2.284107152
348,-2.331239721,3.474862601,-2.832098703,3.064830409
349,-3.163482516,2.324865106,-3.825235865,3.055550353
350,-5.17193632,0.783040627,-4.995097497,0.847384814
351,-3.048011497,3.638913088,-1.703190132,4.906466686
352,-3.374063916,3.257458667,-2.882201125,3.2634992
353,-3.201027616,1.628641579,-1.865371112,2.74811399
354,-3.228936514,2.872196579,-3.896074165,2.384675085
355,-0.053443847,5.657147371,-0.069479117,5.849703097
356,-4.464827003,2.39127224,-4.540345026,1.269844217
357,-4.347000238,2.019325639,-2.516864902,1.69087056
358,-4.031576017,1.782736417,-3.860719594,1.238680537
359,-1.505787768,3.817249979,-1.835026863,4.470553021
360,-2.803974264,2.542482274,-1.903002143,4.376494648
361,-1.543472499,3.606958735,-0.776540405,4.231538075
362,-1.685536241,4.304464507,-1.777327441,3.003082526
363,-4.316740086,1.431608204,-4.6766552,1.324019664
364,-2.702926522,2.96955912,-2.597357975,3.646009368
365,-3.163958505,1.63180476,-4.104724066,1.95809551
366,-2.956601238,2.771136519,-2.70589032,2.456762737
367,-2.969758462,3.175774854,-2.769711163,2.007898037
368,-2.823959376,2.862451516,-2.459532031,2.820599311
369,-3.334321443,2.462639583,-2.669466018,3.094984753
370,-3.436001449,2.478038185,-3.207458379,1.669427289
371,-2.647605577,1.871378604,-2.364668192,1.949710717
372,-0.593833367,4.015074944,-0.95072449,4.545041113
373,-2.638824122,2.338497372,-4.303953478,2.437338707
374,-3.060349999,2.798130067,-3.320613415,3.530660839
375,-2.522737079,3.078472134,-3.152775359,2.928609054
376,-4.598275398,1.692296671,-2.480337199,2.461476926
377,-0.730910522,4.627552716,-1.473648251,4.351983225
378,-2.222488936,3.808495101,-1.773591086,3.433980072
379,-2.638304929,2.809558093,-3.413192704,3.329983455
380,-1.545904758,3.982642843,-2.000399453,2.984750784
381,-2.205856313,1.957223376,-2.899117767,3.200493829
382,-3.167537916,3.025178786,-2.065379139,3.588876157
383,-2.971967906,2.703436132,-2.77793763,2.33526015
384,-2.062254103,3.414195201,-2.49360727,2.717326451
385,-2.789918851,3.350213061,-3.107668344,3.305463177
386,-3.670250422,2.390917402,-3.747705102,3.014984281
387,-2.968297319,2.035391107,-1.801846984,2.481813618
388,-0.651133965,4.567648766,-0.947164924,4.354851063
389,-3.891397152,1.607705551,-3.675758369,2.553457233
390,-2.848595384,3.460217384,-1.819681949,3.502844364
391,-2.141408031,2.161659378,-2.851582165,2.846786401
392,-3.013430412,1.871600821,-3.333690304,3.009853317
393,-2.172954941,2.970835102,-2.59728208,3.241410269
394,-3.729807573,1.927812753,-2.759002879,1.250858257
395,-3.799606127,1.225851034,-4.595231512,0.055470326
396,-3.41087102,0.883200293,-4.914497424,1.861080116
397,-3.019265887,2.551775724,-2.336825676,2.335817229
398,-3.749457131,2.50727281,-3.69739742,1.368458071
399,-3.857714932,0.493058358,-3.262149493,2.885573886
400,-4.301854759,1.977628666,-2.72324289,2.720619488
401,-2.683643903,4.502260069,-1.965708029,4.064431791
402,-5.343250175,1.726836236,-4.478016523,1.684408462
403,-5.245674525,1.364082083,-3.525405644,2.115158201
404,-2.444438438,1.258719319,-2.982006642,2.633024053
405,-3.803819831,2.850705288,-2.286516874,3.836684608
406,-2.407297707,3.061854988,-2.156138721,3.787213619
407,-3.266461102,2.304385042,-1.897486579,3.103877943
408,-3.072048092,3.546399303,-3.305220254,2.095954089
409,-2.524193344,3.282146037,-1.206499398,2.838987486
410,-4.028230432,1.960121822,-4.441054756,0.687904158
411,-3.240680758,2.697548587,-1.697161169,4.708832014
412,-2.860556846,1.46065999,-1.822080145,3.6694152
413,-3.00815498,2.38533885,-3.805249695,3.672414334
414,-2.166701406,3.496911356,-2.517177533,2.944013845
415,-3.053195229,2.857183167,-2.259591071,4.297259452
416,-3.517777777,2.52690139,-4.330766491,3.244860627
417,-3.165170614,2.727679622,-3.322973748,3.499626685
418,-2.49731683,4.554882467,-2.9203599,3.942786618
419,-2.875357072,2.707438961,-2.979441437,2.189624276
420,-3.310346111,3.411815813,-2.735305701,2.86100677
421,-2.953174354,2.16351982,-2.928156804,2.378304812
422,-3.771552352,2.895087814,-4.086183879,1.757524517
423,-4.147148445,1.289871051,-4.071036798,3.289793858
424,-5.156181417,1.025443484,-4.637663858,1.431943993
425,-4.338456481,1.451052654,-3.422010193,1.2196826
426,-2.823237832,3.121183927,-4.132901366,2.620688804
427,-2.75581456,2.340012117,-2.978916433,3.151768948
428,-4.764408975,3.649159486,-3.93565031,2.590179803
429,-5.034070819,2.098323206,-3.248100698,0.330911024
430,-2.87492825,3.426837947,-2.767476331,2.556021658
431,2.791216013,-3.672703599,2.183797918,-2.629656522
432,4.93094965,-1.531156375,3.406216438,-2.1284592
433,4.125141962,-1.770770761,3.770100683,-2.349022254
434,3.143132996,-0.835481043,2.610894665,-1.71433004
435,1.946658777,-4.345802971,3.393194107,-4.114078438
436,3.801816044,-1.925128722,2.709347959,-3.304660176
437,3.138284283,-4.860556152,1.130447694,-3.547539739
438,2.890311256,-2.983284276,3.096534039,-2.883253155
439,2.169779084,-2.81372475,2.467318823,-3.105891418
440,4.216446946,-1.646853293,3.571469571,-0.463226562
441,2.95300057,-2.58025937,1.259349875,-2.63528721
442,1.756635202,-4.318736383,1.734005249,-3.469218055
443,2.19380052,-3.329746883,1.789273171,-3.650077878
444,2.630423468,-2.909171425,2.182804727,-3.722338917
445,1.741146989,-4.017648656,2.102546664,-2.750862822
446,1.408248127,-3.854357301,1.145215686,-5.062834859
447,2.667625121,-1.895702138,2.654073331,-2.351324109
448,2.647438393,-3.43478951,2.855293704,-2.953734399
449,3.466124754,-2.282269494,3.597925528,-3.819492293
450,2.190583479,-3.106729383,3.133396739,-2.988669772
451,3.6757884,-2.46912406,3.206162351,-3.375585754
452,3.920485172,-1.354555743,4.269048645,-1.575166684
453,2.570380465,-3.46540989,3.282217996,-3.698991115
454,4.130306433,-2.208555606,2.372396853,-2.575872628
455,1.281415051,-4.417985272,-0.176059552,-4.963150925
456,0.619233501,-3.685222923,2.024835897,-3.590230355
457,4.023844394,-2.229268387,4.880649244,-4.38434111
458,2.469050599,-2.925594408,2.498018146,-2.101306852
459,3.288478656,-1.363476442,2.937646418,-1.695718487
460,1.557495718,-3.495112933,2.805788433,-3.336090941
461,4.271758321,-1.932741091,4.996221881,-0.923840721
462,5.395546022,-2.133054802,3.879878844,-2.647586538
463,2.018081139,-2.71783436,2.824187524,-2.612259696
464,2.930439739,-2.046446805,4.35492557,-1.527334292
465,2.898528721,-3.565131348,3.220882432,-3.147436685
466,1.769305065,-4.378757494,1.887574219,-2.885187987
467,1.819085397,-3.236781849,3.714395855,-2.913732491
468,4.435756424,-1.122645758,3.35833097,-1.36721706
469,2.567661693,-3.411682421,1.773451018,-3.029757986
470,4.052601143,-1.701033813,4.046637379,-2.051582947
471,1.981793573,-3.287407655,2.381643453,-3.026422743
472,2.040444105,-3.087822077,2.179196653,-4.641595479
473,2.883711885,-2.207281754,3.260470059,-2.292165087
474,3.211283799,-2.29978142,3.620224311,-3.887394371
475,3.604941631,-1.387057776,4.349143909,-2.156657734
476,2.399724069,-3.351803978,2.230832722,-4.717768882
477,5.22612756,-1.888643943,4.204395382,-0.498104412
478,3.604689088,-1.399486523,5.530668165,-2.2569222
479,2.309230387,-4.149091268,2.063580205,-4.510499787
480,2.02693914,-3.817944148,2.897626528,-3.565071454
481,3.212877354,-3.847852429,2.119915428,-2.807894669
482,4.139499757,-2.552824255,3.34183608,-2.856300174
483,3.684530167,-2.561319711,3.006062634,-1.116629722
484,2.496755927,-1.878883399,3.270710928,-3.54042885
485,2.489717527,-3.247452271,2.975993177,-2.12850388
486,4.19926363,-2.724543874,2.240436026,-2.203757557
487,3.173487135,-5.177113336,2.026355005,-3.032231996
488,1.579963465,-3.245068106,2.581973321,-4.28068844
489,3.189060694,-2.199854418,2.973079606,-2.780131541
490,2.201218864,-3.594053335,1.59452124,-2.25667586
491,3.428059425,-2.54690515,2.90604174,-3.869632298
492,2.79216625,-2.36460291,2.168643408,-3.531809749
493,1.104691756,-3.837324337,0.096258538,-4.252311969
494,2.463875275,-2.500156552,1.872508712,-4.271676228
495,2.316818911,-3.185398494,3.701857379,-2.640205642
496,4.678483416,-1.65284411,3.509226036,-1.771408481
497,3.028373848,-3.50729641,1.947398237,-3.481785636
498,4.506026277,-2.650974652,3.6998855,-0.994100938
499,3.166437514,-1.632905795,4.160936675,-1.848517908
500,2.061957007,-3.87558091,2.204989164,-5.043698238
501,4.691820275,-1.369909361,4.03658358,-0.973772152
502,2.943321956,-1.668070375,3.219695285,-3.099372048
503,3.078971071,-2.411758058,3.155150938,-3.64248701
504,3.275388535,-3.875956702,3.029199524,-3.290044522
505,4.180503831,-0.904516547,4.276047235,-1.307762114
506,1.993395765,-3.676944513,2.755573195,-1.813008002
